award_share,fga,per,ws,ws_per_48,usg_pct,ast_per_g,stl_per_g,blk_per_g
0.002,24.1,21.8,9.2,0.137,35.2,5.1,1.2,0.7
0.001,7.9,22.3,10.8,0.216,18.8,8.7,1.6,0.3
0.017,16.6,24.7,13.1,0.217,30.0,4.5,1.1,0.8
0.122,18.2,23.9,11.8,0.176,27.0,5.0,1.4,1.8
0.009,22.2,24.5,11.3,0.196,31.8,5.0,1.7,0.6
0.001,18.9,18.2,8.5,0.119,24.9,4.4,1.4,0.4
0.004,18.5,22.3,10.4,0.16,30.6,3.1,1.7,0.8
0.006,16.0,22.9,13.7,0.211,24.4,4.6,1.5,0.2
0.466,19.2,30.2,14.9,0.245,31.6,3.7,0.6,2.8
0.569,17.1,23.8,13.2,0.2,28.7,3.0,0.9,2.3
0.052,22.4,24.9,12.2,0.189,31.2,4.6,1.5,1.5
0.006,22.1,25.0,12.9,0.208,30.7,3.9,1.5,1.1
0.023,27.8,21.9,6.9,0.126,37.8,5.5,2.8,0.2
0.019,6.0,18.6,11.6,0.19,10.5,1.4,1.7,3.5
0.029,19.9,24.4,8.6,0.2,29.0,4.8,1.7,1.4
0.025,16.6,24.1,13.4,0.222,25.5,2.4,1.1,1.0
0.001,12.6,23.6,13.6,0.216,21.1,2.4,1.0,2.0
0.043,19.2,22.9,12.6,0.183,27.2,9.0,1.6,0.3
0.712,13.9,19.1,8.9,0.14,22.5,9.9,2.1,0.2
0.002,17.4,19.0,5.8,0.104,32.3,5.3,1.0,0.5
0.013,17.3,23.8,12.8,0.194,26.0,5.2,1.2,1.6
0.078,20.0,23.2,12.7,0.199,30.4,5.5,1.5,0.4
0.013,22.1,20.7,3.3,0.075,36.0,5.2,1.4,0.4
0.001,12.3,14.9,6.3,0.113,19.7,5.0,1.1,0.2
0.017,19.5,22.3,12.9,0.187,29.3,3.2,1.9,1.0
0.001,15.9,19.3,9.9,0.179,23.2,2.5,1.1,0.2
0.552,18.3,29.7,13.2,0.262,31.8,3.0,0.6,2.0
0.004,13.3,20.7,9.9,0.167,23.0,7.7,0.6,0.0
0.757,18.3,27.0,17.8,0.257,29.0,3.7,0.7,2.5
0.31,20.9,25.1,11.5,0.189,31.1,5.3,1.6,1.0
0.07,23.7,21.2,9.2,0.127,32.9,5.5,2.7,0.2
0.028,6.0,17.2,10.6,0.176,10.2,1.6,1.4,3.2
0.016,21.4,20.9,6.9,0.127,30.4,5.4,1.6,1.3
0.036,18.6,25.6,16.1,0.249,27.4,3.0,1.4,1.0
0.001,19.3,18.0,9.0,0.13,27.1,5.6,1.0,0.2
0.026,15.6,22.2,11.3,0.182,25.9,8.9,2.2,0.3
0.732,18.1,26.4,15.6,0.225,26.4,6.0,1.4,1.6
0.417,23.5,26.2,14.9,0.21,32.9,5.9,2.2,0.8
0.001,20.2,22.7,10.1,0.157,33.2,4.4,1.8,0.8
0.106,18.1,29.5,13.2,0.25,30.2,3.1,0.6,2.4
0.001,13.6,22.6,11.6,0.206,24.4,7.3,1.0,0.1
0.808,17.2,26.9,16.5,0.248,28.0,3.9,0.7,2.9
0.359,24.2,30.3,16.1,0.262,35.2,5.5,1.7,0.8
0.002,11.9,22.6,11.6,0.192,21.9,3.1,1.9,2.8
0.003,20.9,20.7,7.5,0.133,30.1,7.5,2.4,0.4
0.02,9.2,17.3,10.2,0.16,15.3,1.7,1.8,3.0
0.001,17.9,17.6,6.1,0.098,28.5,2.8,1.2,0.5
0.003,17.0,22.5,11.5,0.19,24.5,2.7,1.2,1.4
0.014,14.3,19.7,7.2,0.141,24.6,9.2,1.8,0.2
0.425,17.9,21.1,9.0,0.155,30.2,2.1,0.8,2.6
0.991,19.6,29.4,18.3,0.272,29.6,5.0,1.5,2.2
0.172,18.1,23.7,10.7,0.21,29.1,5.1,1.7,0.4
0.009,18.9,18.3,5.1,0.078,28.2,5.9,1.6,0.7
0.001,17.5,19.9,9.7,0.154,26.3,2.3,1.0,0.1
0.228,17.1,21.8,13.5,0.198,23.9,2.1,1.3,0.2
0.003,15.7,22.8,12.1,0.205,27.2,7.3,1.3,0.2
0.145,14.1,24.4,9.9,0.192,26.3,2.9,0.5,2.5
0.582,17.1,27.1,13.1,0.249,29.7,3.1,0.9,2.7
0.001,12.5,21.9,11.4,0.202,25.3,1.5,0.3,1.9
0.189,24.2,23.2,9.0,0.136,35.0,7.9,2.4,0.1
0.032,16.7,26.6,14.6,0.243,28.3,1.6,1.0,1.6
0.275,18.5,26.1,15.6,0.248,28.7,3.1,1.2,1.5
0.034,17.1,23.1,11.0,0.177,30.9,6.8,1.6,1.1
0.003,19.0,21.3,11.5,0.169,27.3,5.1,1.7,0.3
0.012,16.6,28.2,16.1,0.248,27.1,5.7,1.5,1.4
0.073,21.1,25.7,14.3,0.203,29.7,7.2,2.2,0.7
0.001,9.1,18.0,5.8,0.138,17.2,2.3,0.9,3.0
0.001,9.2,15.5,6.9,0.118,15.9,2.2,0.9,0.6
0.032,19.2,20.9,10.7,0.168,28.0,3.7,1.1,0.1
0.813,15.0,27.0,11.0,0.211,30.5,2.7,0.5,2.3
0.001,15.9,21.7,12.5,0.191,21.3,1.9,2.0,1.5
0.839,11.4,22.0,10.9,0.203,20.5,11.5,1.0,0.1
0.258,15.8,27.0,11.2,0.245,28.9,2.7,0.7,2.6
0.035,21.3,22.9,12.0,0.18,31.2,5.7,1.7,0.7
0.002,20.0,22.9,9.4,0.159,31.6,4.2,1.4,0.6
0.001,25.3,25.9,10.6,0.165,35.8,7.4,1.9,0.1
0.344,12.5,23.4,15.5,0.254,22.9,8.6,0.9,0.1
0.435,19.3,28.1,17.7,0.275,30.0,2.8,0.7,1.0
0.07,18.8,27.6,14.4,0.239,32.5,6.7,1.9,0.8
0.04,18.2,26.5,14.8,0.229,27.7,2.6,1.0,2.5
0.386,27.2,28.0,15.3,0.224,38.7,4.5,1.8,0.4
0.55,23.1,28.1,16.3,0.232,33.6,6.6,1.6,0.8
0.001,16.9,23.6,14.6,0.214,22.3,1.8,2.0,1.7
0.739,13.4,23.3,12.4,0.212,23.3,10.5,0.8,0.2
0.026,14.8,23.1,10.8,0.187,27.7,3.2,0.9,2.0
0.007,14.2,20.8,9.6,0.169,27.1,5.8,1.0,0.1
0.002,12.9,23.1,11.2,0.201,25.8,1.0,1.0,1.3
0.001,16.3,21.0,6.4,0.139,26.5,8.1,2.1,0.5
0.005,15.6,24.1,9.9,0.185,26.5,3.0,0.9,0.3
0.001,22.4,22.1,7.3,0.14,33.4,3.8,1.2,0.4
0.003,11.6,21.3,11.4,0.216,21.5,7.2,1.2,0.2
0.033,15.9,22.6,9.6,0.174,26.7,2.5,0.6,1.3
0.882,17.2,27.6,16.3,0.278,28.9,3.4,0.7,0.8
0.002,18.9,28.9,8.8,0.219,34.7,7.5,2.1,1.2
0.024,20.9,24.0,10.8,0.177,31.4,6.0,1.9,0.2
0.005,17.6,24.1,10.7,0.171,27.4,4.1,1.2,1.7
0.404,22.8,26.1,13.0,0.199,33.6,5.4,1.4,0.5
0.142,20.8,24.5,13.7,0.206,31.0,6.0,1.6,0.7
0.002,12.0,21.7,2.8,0.119,29.4,2.0,0.2,1.4
0.785,12.8,23.8,12.6,0.225,22.9,11.6,0.8,0.1
0.222,14.1,26.1,13.0,0.23,27.9,3.4,0.8,2.4
0.001,14.2,21.4,9.6,0.185,27.4,5.5,1.1,0.1
0.085,20.8,23.2,8.6,0.163,35.0,6.5,1.3,0.5
0.021,15.3,27.6,14.6,0.262,28.2,1.5,0.8,2.1
0.001,17.9,20.3,9.2,0.144,25.9,1.5,1.3,0.4
0.001,16.0,21.9,10.2,0.173,26.6,2.9,1.2,0.5
0.002,19.2,21.1,8.2,0.14,30.2,3.4,1.3,0.5
0.71,16.1,28.3,17.8,0.284,25.7,11.6,2.7,0.1
0.003,13.6,20.8,11.3,0.177,23.1,10.5,1.1,0.3
0.004,17.1,24.6,12.9,0.223,28.8,3.5,0.7,0.9
0.048,11.9,22.9,12.9,0.2,24.2,1.3,0.9,2.1
0.532,13.9,25.3,12.9,0.265,25.5,3.4,1.4,1.3
0.873,20.6,24.2,13.8,0.208,31.4,5.4,1.8,0.5
0.348,21.9,29.1,15.2,0.242,33.5,7.2,1.8,1.1
0.007,13.3,24.3,11.1,0.232,28.7,4.5,1.5,0.4
0.001,13.7,19.6,12.4,0.207,24.8,4.5,1.3,0.5
0.001,11.3,17.2,7.6,0.155,20.5,1.8,1.2,1.7
0.014,11.9,21.1,10.5,0.181,22.0,11.1,0.7,0.1
0.02,15.1,24.4,11.1,0.201,28.2,2.8,0.7,1.9
0.015,19.8,18.4,5.8,0.115,30.4,5.9,1.0,0.5
0.006,16.9,24.0,13.5,0.223,27.4,5.1,1.1,0.3
0.027,12.4,18.8,10.1,0.174,21.7,6.4,1.2,0.2
0.159,16.1,30.0,18.3,0.292,27.5,11.0,2.8,0.1
0.002,20.0,23.1,10.9,0.171,30.3,2.4,0.8,0.8
0.271,12.4,25.4,13.8,0.234,26.1,1.4,1.0,2.9
0.562,22.0,30.4,14.7,0.232,36.2,7.5,2.2,1.3
0.577,20.9,24.4,12.7,0.206,32.2,4.9,1.5,0.5
0.969,19.9,31.7,20.3,0.318,33.8,7.2,1.7,1.1
0.017,14.6,17.7,10.3,0.164,25.4,3.6,1.0,0.3
0.002,14.8,24.4,10.1,0.191,28.5,3.5,0.5,1.7
0.007,17.5,23.4,8.6,0.168,31.7,6.9,0.9,0.1
0.001,13.4,22.7,10.6,0.196,26.2,1.8,0.4,1.9
0.004,15.4,22.6,10.7,0.181,27.3,1.0,0.6,1.0
0.053,21.8,22.2,7.9,0.145,33.4,3.2,1.3,0.4
0.001,13.2,20.2,9.5,0.182,24.3,5.6,1.1,0.1
0.001,16.5,25.0,9.6,0.182,28.7,2.4,0.6,1.0
0.006,13.9,20.6,10.3,0.177,23.8,10.5,1.3,0.2
0.045,18.5,22.9,12.3,0.194,28.8,2.7,0.9,1.0
0.389,10.2,24.0,13.2,0.223,23.9,1.8,0.9,2.8
0.097,19.6,28.0,13.0,0.224,34.9,6.5,1.8,1.1
0.001,18.2,19.3,8.4,0.14,26.3,4.9,1.1,0.1
0.495,20.3,26.2,16.1,0.238,32.0,2.8,1.4,1.0
0.487,21.5,21.9,9.4,0.16,32.3,5.0,1.5,0.3
0.98,20.1,31.1,18.5,0.299,33.5,8.6,1.6,1.0
0.002,12.0,22.5,9.7,0.216,25.8,4.9,1.4,0.3
0.001,17.5,15.6,5.0,0.077,27.5,3.7,1.6,0.5
0.04,12.2,21.6,9.9,0.178,22.9,11.0,0.5,0.1
0.007,19.0,22.7,8.0,0.134,30.9,2.6,0.9,1.9
0.004,16.8,21.9,9.8,0.152,27.3,3.8,0.8,0.5
0.002,11.6,23.7,13.9,0.232,21.1,9.8,2.4,0.1
0.977,19.7,23.5,13.1,0.208,32.2,7.7,1.0,0.6
0.093,16.2,23.4,11.1,0.213,28.2,2.6,0.5,0.6
0.531,13.4,26.1,14.4,0.235,27.2,1.4,1.4,2.4
0.02,18.2,25.6,12.8,0.218,31.6,4.6,1.5,1.1
0.157,19.7,23.6,12.0,0.189,30.6,2.7,1.1,1.0
0.354,20.0,23.9,10.3,0.178,35.1,4.7,1.2,0.1
0.431,18.8,27.3,15.6,0.244,31.5,7.0,1.6,0.6
0.017,12.7,21.7,9.9,0.195,26.0,4.9,1.5,0.4
0.004,9.9,17.1,6.6,0.126,18.3,11.2,2.3,0.2
0.002,13.7,20.4,8.2,0.156,25.5,6.6,1.2,0.0
0.318,14.8,27.0,12.7,0.278,24.3,9.1,2.5,0.1
0.004,17.8,23.0,6.0,0.211,30.5,7.9,0.9,0.7
0.003,16.7,21.7,7.6,0.175,29.2,2.2,0.7,0.5
0.011,13.4,24.2,7.7,0.179,26.1,1.9,1.5,2.1
0.005,17.1,26.3,7.7,0.227,31.3,4.6,1.7,1.3
0.001,15.5,18.4,6.4,0.145,24.9,3.9,0.8,0.2
0.735,19.7,26.2,12.2,0.23,31.3,3.5,1.3,1.2
0.048,19.3,25.4,10.0,0.223,28.8,2.0,0.9,0.5
0.291,23.0,21.9,6.2,0.132,35.7,4.6,1.2,0.3
0.888,18.9,30.7,14.5,0.298,32.0,6.2,1.9,0.8
0.01,10.8,17.5,4.9,0.121,20.7,11.7,1.8,0.1
0.003,19.2,22.9,7.9,0.163,32.7,5.5,1.7,0.3
0.006,9.0,20.3,5.9,0.144,19.6,10.7,0.6,0.1
0.002,12.6,22.5,5.9,0.174,26.2,2.3,0.7,1.5
0.274,14.8,22.0,7.1,0.177,27.7,7.7,1.0,0.1
0.393,22.2,24.8,9.5,0.184,35.6,2.6,0.8,0.5
0.239,12.2,26.4,13.9,0.287,22.6,9.7,2.4,0.1
0.001,14.7,19.2,9.1,0.15,23.2,3.5,0.8,0.3
0.004,15.8,24.0,9.6,0.192,29.5,5.1,1.9,0.8
0.027,17.1,23.0,12.8,0.206,29.0,5.8,1.8,0.5
0.001,9.5,18.1,7.3,0.145,17.2,4.0,1.2,2.1
0.632,17.7,28.3,18.9,0.291,29.8,4.6,1.4,1.3
0.001,12.5,19.2,5.6,0.133,24.5,2.3,1.1,0.9
0.152,20.4,23.0,10.9,0.174,31.9,6.0,1.4,0.3
0.998,17.8,31.6,19.3,0.322,30.2,7.3,1.7,0.9
0.001,10.9,19.5,11.5,0.197,19.2,4.0,1.0,1.7
0.007,18.7,23.9,11.6,0.195,32.8,7.4,1.8,0.3
0.002,17.8,21.3,11.2,0.18,26.4,6.9,1.6,0.2
0.054,14.1,24.4,8.3,0.191,27.8,2.7,0.7,2.7
0.071,15.1,23.0,9.3,0.206,27.7,7.6,0.8,0.1
0.001,13.3,17.9,7.4,0.141,22.3,6.9,1.5,0.1
0.027,18.8,22.7,7.8,0.146,29.3,2.1,0.9,1.1
0.347,17.0,23.9,12.2,0.205,29.0,3.9,1.2,0.6
0.003,21.3,24.4,10.7,0.172,32.4,3.1,1.2,0.7
0.036,14.0,25.9,12.2,0.27,23.7,10.7,2.5,0.1
0.006,15.9,23.6,10.9,0.199,26.9,2.7,0.9,0.6
0.002,14.4,21.4,10.3,0.186,24.5,5.9,1.4,0.3
0.068,16.5,23.5,12.8,0.221,27.8,6.1,1.6,0.4
0.258,10.0,20.0,11.2,0.19,18.7,5.4,1.2,1.5
0.986,20.8,29.8,19.2,0.295,33.0,5.5,1.3,0.7
0.02,18.5,26.9,14.3,0.245,28.8,4.4,0.8,0.5
0.021,20.6,21.8,7.5,0.144,29.8,2.6,0.9,1.0
0.713,17.6,29.3,15.9,0.264,31.0,6.3,1.6,0.3
0.001,14.1,20.0,8.2,0.161,24.6,6.0,1.5,0.2
0.026,17.0,20.1,10.8,0.178,28.3,3.5,1.9,0.3
0.053,17.7,24.1,13.4,0.225,28.3,8.5,1.6,0.2
0.017,12.2,21.3,7.4,0.164,25.2,3.0,0.6,1.9
0.017,13.4,18.9,5.9,0.141,26.5,5.7,0.5,0.1
0.156,17.6,30.8,14.0,0.274,27.8,2.2,1.5,2.9
0.002,17.1,22.8,9.0,0.183,28.4,5.3,0.9,0.5
0.095,14.3,26.0,16.1,0.27,23.7,10.2,1.9,0.2
0.72,18.1,26.7,16.4,0.265,31.3,7.0,1.9,0.7
0.001,12.8,22.0,8.6,0.204,23.0,2.5,2.3,0.8
0.001,16.9,20.8,8.8,0.172,27.6,2.9,1.1,0.8
0.005,19.9,22.8,8.6,0.165,30.2,1.7,0.7,1.0
0.425,18.5,25.9,10.4,0.199,32.3,7.4,1.6,0.7
0.002,13.2,21.7,10.2,0.182,24.6,3.8,0.9,1.6
0.271,22.0,29.1,10.6,0.222,38.4,8.6,2.1,0.2
0.922,16.8,28.0,15.7,0.288,28.9,7.7,2.0,0.2
0.001,10.6,22.6,9.6,0.207,22.2,3.0,0.8,2.0
0.082,15.1,26.2,12.7,0.253,27.1,10.0,2.1,0.2
0.02,19.7,22.2,9.2,0.165,31.3,6.8,0.9,0.4
0.038,10.1,19.3,11.1,0.19,18.8,7.4,1.5,1.4
0.007,19.7,25.3,13.3,0.204,32.5,7.5,1.7,0.6
0.484,15.1,26.0,13.7,0.277,25.8,2.6,1.8,1.0
0.112,19.2,28.2,14.5,0.27,30.6,5.0,1.0,1.2
0.005,15.6,22.2,11.6,0.196,26.1,6.4,2.1,0.4
0.482,18.6,27.5,13.6,0.242,31.4,6.8,1.4,0.6
0.371,18.1,27.6,14.0,0.245,31.6,10.4,2.0,0.3
1.0,20.2,31.5,17.9,0.318,32.6,6.7,2.1,0.2
0.002,20.3,27.5,11.0,0.195,32.6,2.1,1.3,2.2
0.001,20.9,24.0,9.0,0.166,34.3,3.9,1.1,0.2
0.007,15.7,26.1,12.4,0.21,28.3,5.4,1.6,1.9
0.08,19.4,26.5,12.5,0.234,34.0,5.9,0.9,0.2
0.746,18.9,27.4,15.0,0.245,34.2,11.2,1.5,0.5
0.007,18.4,23.2,8.8,0.149,30.6,10.7,2.0,0.6
0.495,17.7,27.6,13.6,0.264,31.1,3.5,1.8,0.7
0.002,16.5,27.6,12.0,0.278,27.8,4.8,1.1,1.6
0.33,18.2,27.0,12.9,0.221,30.0,8.7,1.2,0.6
0.879,24.0,30.6,13.1,0.224,41.7,10.4,1.6,0.4
0.051,18.3,24.6,12.6,0.229,30.1,6.6,1.8,0.2
0.441,19.5,28.9,13.7,0.241,30.0,2.3,1.5,2.6
0.205,19.4,25.2,12.6,0.227,30.6,6.6,1.1,0.4
0.032,17.7,21.0,9.6,0.17,29.6,5.2,1.1,0.3
0.074,18.7,27.3,11.9,0.207,31.2,4.8,1.5,1.4
0.955,20.1,29.8,15.4,0.289,36.1,8.8,1.8,0.7
0.005,15.6,23.7,8.9,0.198,24.9,4.9,2.0,0.4
0.004,16.8,22.9,6.2,0.155,33.4,3.2,0.6,1.8
0.065,18.0,26.0,10.4,0.215,30.4,5.4,0.7,1.8
0.006,18.0,25.0,10.9,0.209,29.1,2.0,0.6,1.2
0.731,19.3,28.6,14.0,0.221,31.6,9.1,1.4,0.9
0.075,21.1,24.7,10.1,0.166,34.1,10.3,1.8,0.3
0.005,16.9,28.2,9.1,0.267,31.0,6.1,1.6,0.2
0.002,17.9,23.1,8.2,0.155,30.1,4.3,2.4,0.8
