award_share,fga,per,ws,ws_per_48,usg_pct,ast_per_g,stl_per_g,blk_per_g
0.401,11.6,22.6,10.2,0.191,19.5,13.1,2.2,0.7
0.037,22.3,23.5,9.0,0.149,33.4,4.5,1.0,0.3
0.001,17.4,19.4,8.6,0.152,25.2,4.3,1.6,0.6
0.046,15.5,21.8,9.5,0.175,26.4,1.4,1.0,1.5
0.011,11.2,18.0,7.9,0.138,16.9,9.2,2.7,0.2
0.092,14.2,19.8,12.7,0.198,22.2,4.5,1.4,0.3
0.001,18.8,18.8,5.3,0.107,31.3,3.0,1.3,0.1
0.015,22.4,21.6,8.9,0.146,29.3,4.2,1.2,0.6
0.006,13.1,16.2,5.5,0.118,23.3,5.2,0.9,0.3
0.09,23.7,25.2,7.1,0.166,35.1,3.7,1.3,0.3
0.028,16.1,21.8,10.2,0.185,24.1,3.1,1.0,0.4
0.001,14.5,19.7,7.5,0.141,23.5,5.5,2.2,0.9
0.004,23.3,20.9,7.6,0.121,32.5,2.5,1.7,0.7
0.015,15.3,21.1,10.2,0.168,23.5,1.4,1.2,2.7
0.081,17.4,22.2,11.2,0.173,24.0,13.9,2.3,0.3
0.004,13.9,20.4,8.3,0.166,22.2,4.2,1.2,1.3
0.001,15.8,20.0,7.6,0.144,26.0,3.0,1.7,1.4
0.264,15.3,22.9,11.2,0.204,24.3,3.2,0.8,2.1
0.978,22.0,26.5,15.7,0.238,28.5,6.6,1.6,1.2
0.338,11.7,23.2,12.7,0.22,20.5,12.6,1.5,0.3
0.005,8.2,13.6,5.4,0.093,14.1,1.5,0.4,5.6
0.172,19.8,25.8,14.0,0.213,29.8,5.9,2.4,0.8
0.014,17.9,19.8,8.7,0.134,24.0,8.2,3.0,0.3
0.279,16.3,22.5,11.9,0.193,26.8,1.6,0.8,1.6
0.004,11.6,17.6,9.6,0.16,19.2,6.8,1.6,0.7
0.003,22.8,18.9,6.2,0.097,29.1,3.0,1.5,0.3
0.033,18.3,17.4,6.2,0.096,25.9,2.7,1.0,2.0
0.083,15.9,20.1,11.2,0.197,23.6,5.2,1.6,0.5
0.177,19.4,22.1,10.7,0.189,28.8,2.9,1.5,0.8
0.003,18.7,19.7,6.0,0.127,29.4,4.5,1.1,0.2
0.003,19.1,24.6,12.8,0.223,30.0,3.5,0.8,0.1
0.071,23.3,21.7,9.8,0.156,30.5,4.0,0.9,0.4
0.004,13.3,19.5,8.6,0.143,20.9,5.5,3.7,0.5
0.003,11.7,15.1,6.8,0.106,18.1,1.6,0.9,1.2
0.171,13.0,22.4,10.8,0.176,22.4,3.9,2.2,1.6
0.001,13.6,14.7,6.7,0.118,20.5,5.8,1.4,0.4
0.522,24.3,23.3,10.8,0.17,32.9,2.6,1.8,0.6
0.247,17.5,24.2,9.5,0.186,25.6,2.0,2.0,3.4
0.036,16.2,21.2,8.8,0.151,24.4,10.8,2.2,0.3
0.009,14.5,20.4,9.5,0.185,22.6,2.7,1.1,1.0
0.173,16.9,22.7,10.8,0.197,26.6,3.5,0.8,1.6
0.004,14.4,21.6,11.0,0.22,22.5,2.7,0.4,2.0
0.981,19.6,25.6,15.8,0.244,27.6,6.8,2.0,0.6
0.263,12.8,24.0,12.1,0.226,21.6,12.6,1.6,0.2
0.027,16.8,20.6,8.9,0.157,27.6,1.2,0.9,1.0
0.004,10.5,18.6,9.8,0.174,18.6,7.8,2.1,0.9
0.072,13.2,20.0,11.7,0.219,21.8,4.9,1.4,0.2
0.012,17.5,18.2,7.4,0.133,27.2,2.4,1.5,0.6
0.003,23.4,20.5,8.1,0.126,29.2,5.1,0.9,0.3
0.145,13.8,25.1,12.0,0.21,23.1,4.9,1.8,1.5
0.164,22.6,23.5,12.2,0.197,32.3,3.3,1.5,0.6
0.014,16.7,20.8,9.7,0.153,21.1,8.0,2.5,0.4
0.036,17.8,23.8,10.9,0.189,26.8,2.9,1.9,3.4
0.022,16.7,18.8,7.6,0.121,25.9,10.0,1.9,0.2
0.001,18.0,18.4,4.6,0.082,27.8,2.6,1.1,1.5
0.004,17.3,18.0,6.9,0.116,26.3,1.9,1.3,0.7
0.326,17.0,24.0,14.8,0.232,24.1,2.6,0.5,2.2
0.347,20.2,26.4,15.2,0.243,27.5,7.6,1.8,0.9
0.94,16.4,27.0,15.9,0.263,26.3,12.2,1.7,0.5
0.001,19.9,22.1,8.9,0.16,31.3,3.2,1.1,0.4
0.576,27.8,29.8,16.9,0.247,38.3,4.6,2.9,1.5
0.012,18.0,23.8,9.4,0.182,29.3,1.6,0.8,1.3
0.004,13.2,17.7,9.2,0.147,19.7,2.2,0.8,1.8
0.001,15.8,18.1,8.0,0.14,24.3,3.3,0.8,0.3
0.005,11.3,15.1,4.4,0.091,23.1,2.0,0.6,1.0
0.001,12.5,19.9,9.4,0.21,24.2,2.5,0.6,0.1
0.005,21.3,19.8,7.6,0.129,28.4,4.7,0.9,0.3
0.001,11.9,18.2,7.6,0.138,20.0,1.6,1.0,0.6
0.136,16.0,27.6,16.7,0.253,26.7,3.2,1.3,1.3
0.108,20.7,24.1,13.2,0.207,28.0,5.8,2.5,0.6
0.069,25.1,23.7,9.8,0.16,35.2,2.9,1.3,0.6
0.033,16.6,20.5,10.4,0.163,21.4,7.8,2.7,0.3
0.05,17.5,23.4,10.7,0.182,26.5,2.1,2.1,2.7
0.004,16.6,18.2,7.6,0.124,25.4,8.4,1.7,0.2
0.019,9.6,23.2,14.1,0.238,17.2,13.8,3.0,0.2
0.045,20.1,20.7,10.1,0.152,29.7,2.4,1.4,0.6
0.659,22.0,27.8,15.0,0.243,30.2,6.1,1.6,0.8
0.635,13.8,23.1,10.9,0.199,23.4,11.9,1.6,0.2
0.001,20.4,21.9,8.8,0.163,31.6,3.6,0.9,0.7
0.003,12.4,15.7,7.6,0.113,17.3,10.6,2.5,0.1
0.001,11.3,15.6,7.5,0.13,16.2,6.1,2.0,0.2
0.831,24.4,31.7,21.2,0.308,34.1,5.9,3.2,1.6
0.005,13.0,18.5,9.6,0.164,22.2,3.7,0.8,0.5
0.111,15.3,27.0,16.1,0.25,24.4,4.1,1.6,0.8
0.004,19.9,21.9,10.6,0.165,26.6,5.1,2.1,0.5
0.211,19.0,25.2,12.4,0.197,28.2,1.8,2.6,3.4
0.001,15.3,17.1,7.0,0.115,24.6,8.3,1.7,0.3
0.001,13.1,16.8,7.0,0.14,21.6,5.7,0.9,0.1
0.033,11.3,22.9,15.6,0.236,19.1,13.6,3.2,0.2
0.426,19.5,24.4,15.2,0.233,30.4,2.7,1.8,0.9
0.026,13.9,20.5,12.2,0.184,21.2,12.2,1.7,0.3
0.004,12.6,19.9,10.3,0.197,19.9,2.2,0.8,2.8
0.782,14.8,26.9,16.1,0.267,24.3,12.8,1.8,0.3
0.004,5.0,10.6,6.6,0.108,9.2,1.0,0.5,3.8
0.021,13.4,20.6,11.3,0.199,21.0,8.4,1.5,0.1
0.704,22.2,31.1,19.8,0.292,32.1,8.0,2.9,0.8
0.004,13.5,21.2,10.7,0.178,23.4,1.4,1.0,1.2
0.235,16.0,22.1,10.9,0.181,23.6,2.4,1.5,3.5
0.005,13.1,21.6,10.5,0.177,20.9,2.2,1.0,1.5
0.001,19.5,19.7,7.7,0.131,28.9,2.5,1.3,0.9
0.024,20.3,19.3,9.2,0.146,28.2,2.9,1.1,0.7
0.005,9.2,14.3,8.7,0.149,15.5,1.4,0.8,0.5
0.667,14.9,27.1,17.3,0.269,24.0,3.9,1.9,0.6
0.003,18.6,22.2,11.6,0.208,25.5,5.9,2.0,0.7
0.111,15.9,26.3,15.1,0.241,26.6,2.0,1.7,3.9
0.07,19.6,24.1,11.2,0.173,28.1,2.9,2.1,4.6
0.001,16.3,17.3,6.7,0.107,26.0,9.4,1.7,0.2
0.001,14.1,17.2,8.7,0.162,22.5,4.9,0.8,0.0
0.01,11.8,23.9,14.4,0.238,20.6,14.5,2.7,0.2
0.233,19.8,27.2,15.9,0.245,32.6,2.8,1.5,0.6
0.005,20.2,21.9,9.5,0.154,27.4,7.5,1.4,0.8
0.691,14.4,26.6,16.5,0.27,24.8,11.5,1.7,0.4
0.613,24.0,31.2,19.0,0.285,33.7,6.3,2.8,0.7
0.176,20.4,25.8,13.5,0.205,29.4,2.2,1.0,4.0
0.013,20.0,20.9,11.2,0.176,28.8,2.3,1.1,0.6
0.007,23.6,19.1,3.5,0.07,34.4,4.6,0.9,0.3
0.231,17.4,28.9,13.4,0.258,29.1,4.2,1.6,0.5
0.078,16.3,22.1,12.4,0.209,25.7,6.0,1.8,0.7
0.496,16.7,27.4,17.0,0.264,26.6,2.5,1.5,3.9
0.03,20.2,23.5,11.4,0.177,28.1,3.3,1.5,0.8
0.004,17.1,24.3,8.6,0.201,25.0,2.3,2.2,3.9
0.011,13.9,17.4,3.4,0.098,25.2,9.3,1.6,0.2
0.008,16.2,18.0,9.9,0.155,24.0,5.5,1.1,0.1
0.016,11.9,23.4,14.0,0.217,20.9,14.2,2.9,0.2
0.148,19.6,24.8,15.5,0.225,30.1,3.3,1.1,1.0
0.005,12.9,18.3,9.0,0.161,21.2,7.1,1.4,0.1
0.033,14.9,23.7,12.7,0.22,24.8,10.1,2.1,0.1
0.001,13.4,21.2,7.9,0.182,23.9,1.9,0.4,2.1
0.026,17.0,19.7,6.6,0.14,23.7,7.2,1.8,1.0
0.518,12.4,25.1,15.4,0.251,22.9,12.5,1.3,0.2
0.928,22.4,31.6,20.3,0.321,32.9,5.5,2.7,1.0
0.021,20.3,23.7,10.0,0.155,31.1,3.0,1.0,3.2
0.01,10.0,20.6,10.0,0.198,19.0,0.8,0.8,1.3
0.026,11.7,21.7,13.0,0.235,19.6,8.0,2.0,0.1
0.001,18.9,20.9,9.9,0.148,24.7,9.7,2.6,0.1
0.025,13.8,23.0,11.7,0.213,23.6,3.6,0.9,1.1
0.019,15.0,24.5,12.3,0.205,25.1,4.1,1.8,0.6
0.084,19.6,19.9,10.8,0.155,23.6,3.5,2.1,0.8
0.584,19.4,23.6,12.8,0.223,28.7,6.7,1.8,0.9
