RANK,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,"USG%Usage RateUsage rate, a.k.a., usage percentage is an estimate of the percentage of team plays used by a player while he was on the floor",TO%Turnover RateA metric that estimates the number of turnovers a player commits per 100 possessions,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","TS%True Shooting PercentageTrue shooting percentage is a measure of shooting efficiency that takes into account field goals, 3-point field goals, and free throws.",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player’s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
120,Jonathan Kuminga,Gol,F,19.7,16,8.6,17.9,26.3,13.3,26,0.769,47,0.574,13,0.231,0.525,0.581,5.2,1.7,11,0.5,9,0.19,0.13,0.69,7.6,105.6,103.3
121,Zach LaVine,Chi,G-F,27.27,4,38.2,79.5,23.4,14.7,15,0.933,39,0.462,24,0.375,0.5,0.553,19.3,5.3,6.9,6,27.1,0.75,0.25,3,8.9,105.9,111.3
122,Damion Lee,Gol,G-F,29.65,16,7.8,16.1,14.6,14.5,3,0.667,18,0.5,16,0.25,0.441,0.453,2,1.6,11.8,0.4,7.5,0.06,0,0.38,5.6,91.4,105.9
123,Kevon Looney,Gol,F,26.36,22,20.4,42.4,11.3,16.5,18,0.611,88,0.659,0,0,0.659,0.662,5.8,7.6,21,2.2,14.6,0.41,0.45,0.86,9,140.2,97.8
124,Brook Lopez,Mil,C,34.21,12,27.7,57.6,16.1,8.9,23,0.913,74,0.595,28,0.214,0.52,0.566,10.6,5.9,11,0.7,3.7,0.5,1.5,0.92,5.1,117.3,104.4
125,Kyle Lowry,Mia,G,36.23,10,29.5,61.4,17.1,16.8,19,0.789,32,0.375,54,0.241,0.366,0.413,7.8,3.6,7.2,4.7,22.5,1.2,0.7,1.9,6.9,91.6,101.3
126,Timothe Luwawu-Cabarrot,Atl,G-F,27.11,4,5.5,11.5,10.4,20,0,0,1,1,3,0.333,0.625,0.625,1.3,0.8,8.2,0.5,14.5,0,0,0.25,5.8,110.3,89.7
127,Boban Marjanovic,Dal,C,33.84,3,2.1,4.3,52.6,29.1,2,1,4,0.25,0,0,0.25,0.41,1.3,1,28.2,0,0,0.33,0,0.67,0,,
128,Naji Marshall,Nor,F,24.39,6,9.4,19.6,11.3,20.3,4,1,10,0.7,0,0,0.7,0.765,3,1,6.3,0.8,12.9,0.17,0.17,0.5,5.7,135.1,109.9
129,Caleb Martin,Mia,F,26.72,17,12.3,25.6,19.8,10.8,6,0.333,47,0.468,33,0.303,0.463,0.46,4.5,2.2,10.4,0.3,3.7,0.59,0.12,0.59,4.7,90.7,102.6
130,Wesley Matthews,Mil,G,35.67,12,28.7,59.8,9.3,8.1,9,0.667,19,0.368,45,0.4,0.531,0.544,6.2,3.1,5.5,1.2,5.6,0.75,0.25,0.5,4,114.2,107.3
131,Tyrese Maxey,Phi,G,21.61,12,40.4,84.2,21.8,9.3,50,0.94,113,0.549,69,0.377,0.555,0.61,20.8,3.5,5.3,3.9,17,0.75,0.17,1.75,6.5,118.8,112
132,Skylar Mays,Atl,G,24.78,2,4.6,9.6,5,0,0,0,1,1,0,0,1,1,1,0.5,6.6,0.5,17.9,0.5,0,0,5.5,208.4,101.7
133,CJ McCollum,Nor,G,30.74,6,39,81.2,27.9,9.9,26,0.692,74,0.432,51,0.333,0.46,0.487,22.2,6.7,10.1,4.8,20.6,0.67,0.83,2.5,9.2,102.6,110.8
134,Jaden McDaniels,Min,F,21.71,6,21.7,45.1,14.9,13.3,12,0.833,14,0.571,20,0.5,0.676,0.713,9.3,2.8,7.3,0.7,5,0.33,1.83,1,4.9,127.4,103.8
135,JaVale McGee,Pho,C-F,34.41,12,11.1,23.2,22.3,13.9,13,0.846,49,0.714,1,0,0.7,0.727,6.8,4,21,0.6,8.8,0.25,0.42,0.75,9.1,132.7,88
136,Jordan McLaughlin,Min,G,26.19,5,16.6,34.6,10.7,9.6,4,0.75,10,0.8,7,0.571,0.824,0.826,6.2,2.4,8,3.4,33.4,1,0,0.4,8.9,165.3,108.5
137,De'Anthony Melton,Mem,G,24.06,10,17,35.4,19.5,17.3,4,0.75,21,0.476,44,0.25,0.408,0.419,5.6,3.1,9.6,1.5,12.5,1,0.5,1.4,7,86.2,106.7
138,Khris Middleton,Mil,F,30.85,2,35.8,74.5,22,30.3,3,1,10,0.4,14,0.429,0.542,0.573,14.5,5,7.2,7,29.6,1.5,0,5.5,8.9,95.3,104.6
139,Paul Millsap,Phi,F,37.35,1,5.6,11.7,0,,0,0,0,0,0,0,,,0,1,10.9,1,23.7,0,0,0,0,,95.7
140,Patty Mills,Bro,G,33.85,4,18.1,37.7,10.8,5.9,0,0,3,0.667,13,0.538,0.781,0.781,6.3,1,3.6,0,0,0,0.25,0.25,0,137.4,114.3
141,Shake Milton,Phi,G-F,25.72,12,13.2,27.5,15.4,9.7,20,0.8,23,0.435,15,0.533,0.579,0.641,5,1.6,7.3,0.9,10.9,0.5,0.25,0.42,5.9,126.9,106.5
142,Donovan Mitchell,Uta,G,25.77,6,38.3,79.7,34.2,9.6,42,0.881,85,0.506,48,0.208,0.436,0.505,25.5,4.3,6.6,5.7,29.7,0.67,0.5,2.67,8.9,107.4,109.5
143,Greg Monroe,Min,F-C,32.04,2,3.6,7.5,35.7,16.7,0,0,5,0.4,0,0,0.4,0.4,2,1,15.4,0.5,29,1,0,0.5,11.1,,
144,Moses Moody,Gol,G,20.05,13,8.1,16.8,14.1,8.9,6,0.667,15,0.533,13,0.538,0.661,0.669,3.2,0.6,4.3,0.3,5.3,0.23,0.23,0.23,4.1,123,110.9
145,Ja Morant,Mem,G,22.85,9,37.5,78.1,30.9,12.6,87,0.747,134,0.478,50,0.34,0.486,0.549,27.1,8,11.3,9.8,44.3,2,0.44,3.56,13.7,115.8,104.5
146,Juwan Morgan,Bos,F,25.17,9,1.6,3.4,5.8,0,2,0.5,0,0,1,0,0,0.266,0.1,0.3,11.6,0,0,0,0,0,0,,
147,Markieff Morris,Mia,F,32.79,1,3.5,7.3,25.5,50,0,0,1,0,0,0,0,0,0,1,16.8,0,0,0,0,1,0,,
148,Monte Morris,Den,G,26.97,5,31.1,64.9,18,12.4,12,0.75,25,0.56,26,0.423,0.598,0.622,14,2.2,4.4,5.4,26.3,1.2,0,1.6,7.1,123,107.8
149,Trey Murphy III,Nor,F,22,6,20,41.6,9.1,4,5,0.8,3,0,19,0.474,0.614,0.64,5.2,2.5,7.4,0.5,3.4,0.5,0.17,0.17,3.7,134.6,109.7
150,Svi Mykhailiuk,Tor,G-F,25.02,3,1.6,3.4,23.1,0,1,1,0,0,2,0,0,0.205,0.3,0.3,12.5,0,0,0,0,0,0,,
151,Larry Nance Jr.,Nor,F-C,29.46,6,21.6,45.1,16.5,12,11,0.818,30,0.667,9,0.222,0.59,0.627,9.2,5.8,15.9,1.8,13.2,0.5,0.33,1,8.5,131.3,104.7
152,Aaron Nesmith,Bos,G-F,22.67,14,3.7,7.7,17.2,5.1,4,0.75,6,0.5,11,0.091,0.265,0.32,0.9,1.1,16.3,0.2,8.4,0.14,0.29,0.07,6.3,,
153,Georges Niang,Phi,F,29,12,16.5,34.4,13.3,12.5,2,1,5,0.8,43,0.372,0.583,0.593,4.8,1.5,5.6,0.9,8.5,0.25,0,0.58,4.5,110.9,100.9
154,Zeke Nnaji,Den,F-C,21.44,2,4.3,9,5.1,0,0,0,0,0,1,1,1.5,1.5,1.5,0,0,0,0,0,0,0,0,300,96.1
155,Jaylen Nowell,Min,G,22.94,1,11.9,24.8,36,0,0,0,5,0.6,5,0,0.3,0.3,6,0,0,1,16.6,1,0,0,0,69.9,109
156,Frank Ntilikina,Dal,G,23.89,12,10.4,21.6,12,22.3,1,1,4,0.5,20,0.3,0.458,0.471,1.9,1,5.6,0.8,10.4,0.67,0.08,0.58,4.4,87.9,95.6
157,Jordan Nwora,Mil,F,23.77,8,2.5,5.2,21.4,0,2,0,5,0.4,4,0,0.222,0.202,0.5,0.4,7.7,0.3,14.2,0,0,0,6.3,,
158,Josh Okogie,Min,G,23.79,1,2.2,4.6,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
159,Onyeka Okongwu,Atl,F-C,21.51,5,21.6,44.9,10.4,16.4,10,0.8,16,0.563,0,0,0.563,0.637,5.2,5.4,15.1,0.4,2.9,0.8,0.8,0.8,4.1,130,97.5
160,Victor Oladipo,Mia,G,30.12,15,24.5,51.1,22.3,13.6,53,0.792,74,0.446,62,0.274,0.43,0.499,10.6,3.4,8.2,2.1,12.9,1.27,0.27,1.67,6.9,97.1,102.4
161,Royce O'Neale,Uta,F,29.03,6,31.4,65.3,9.7,7.7,2,1,10,0.7,25,0.28,0.5,0.516,6.2,5.7,10.5,1.5,7.3,0.5,0.17,0.5,4.8,115.6,105.3
162,Eric Paschall,Uta,F,25.61,4,6.1,12.7,12.4,0,1,1,4,0.5,2,0.5,0.583,0.621,2,1.3,12,0,0,0.25,0,0,0,135.6,99.1
163,Chris Paul,Pho,G,37.12,13,34.4,71.7,20.8,15.3,37,0.946,106,0.642,49,0.388,0.623,0.666,17.5,4.2,7.1,8.3,36.4,1.46,0.15,2.38,9.9,129.5,103.7
164,Cameron Payne,Pho,G,27.86,13,13.2,27.6,24,14.5,6,0.833,44,0.386,30,0.167,0.331,0.352,4.2,1.5,6.8,2.1,21.5,0.54,0.08,1,7.2,78.1,97.5
165,Gary Payton II,Gol,G,29.54,12,17,35.3,12.5,10.4,18,0.667,29,0.724,15,0.533,0.75,0.751,6.5,3.1,10.2,1.3,10.9,1.17,0.58,0.5,7,145.8,97.8
166,Elfrid Payton,Pho,G,28.32,2,3.9,8,17.9,0,0,0,3,0.667,0,0,0.667,0.667,2,0,0,1.5,65.2,0,0,0,0,,
167,Jordan Poole,Gol,G,23,22,27.5,57.3,24.5,15.7,71,0.915,126,0.627,128,0.391,0.606,0.654,17,2.8,5.7,3.8,21.1,0.82,0.36,2.41,8.2,117.3,102.6
168,Otto Porter Jr.,Gol,F,29.04,19,19.5,40.7,11,12.9,9,0.778,30,0.633,47,0.404,0.617,0.63,5.4,3.4,9.8,1.8,12.1,0.89,0.32,0.63,6.6,124.7,101.1
169,Bobby Portis,Mil,F,27.35,12,24.8,51.6,20.5,11.4,22,0.773,68,0.5,47,0.298,0.478,0.509,10.6,10,20.7,0.8,4.7,0.42,0.25,1.33,7.1,103,100.7
170,Dwight Powell,Dal,F-C,30.91,18,13.8,28.8,10.3,16.6,23,0.609,33,0.667,2,0,0.629,0.643,3.2,2.6,11,0.2,2.4,0.17,0.33,0.5,3.4,122.3,96.9
171,Taurean Prince,Min,F,28.24,5,13.1,27.2,22.4,11.7,7,0.857,13,0.462,14,0.286,0.444,0.499,6,1.6,6.8,1.2,15.2,0.4,0.2,0.8,6.9,99.9,109.5
172,Payton Pritchard,Bos,G,24.38,24,12.9,26.8,16.6,7.9,6,0.667,30,0.633,72,0.333,0.539,0.545,4.8,1.9,8.4,1.6,19.7,0.25,0.08,0.38,7.6,117.1,104
173,Paul Reed,Phi,F,23.01,12,11.6,24.2,16.2,18.7,7,0.571,33,0.515,3,0.667,0.556,0.563,3.7,3.9,20.6,0.8,11.6,0.75,0.5,0.75,7.8,118.7,88.3
174,Naz Reid,Min,C-F,22.81,5,10.8,22.5,19.9,19.9,7,1,10,0.4,7,0.429,0.5,0.598,4.8,2.8,14.4,0,0,0.2,1.2,1,0,99.6,86.1
175,Austin Rivers,Den,G,29.87,5,21.7,45.2,9,17.8,1,1,6,0.667,12,0.333,0.556,0.569,4.2,0.6,1.7,1.2,7.4,1.4,0.2,0.8,2.7,100.7,101.7
176,Duncan Robinson,Mia,F,28.15,13,12.3,25.5,17.5,4.8,6,0.833,10,0.7,47,0.383,0.596,0.612,5.6,1.8,8.5,0.4,4.9,0.31,0.08,0.23,5.2,118.4,97.1
177,D'Angelo Russell,Min,G,26.31,6,32.7,68.2,21,17.7,16,0.75,41,0.293,31,0.387,0.417,0.455,12,2.5,4.2,6.7,32.1,1.5,0,2.83,7.2,95.8,108.5
178,Landry Shamet,Pho,G,25.26,12,16,33.3,13.9,12.1,7,0.714,22,0.455,26,0.346,0.49,0.509,4.3,1.7,6.1,1.3,10.3,0.5,0,0.58,5.3,102.5,109.1
179,Day'Ron Sharpe,Bro,F,20.61,1,0.4,0.8,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
180,Pascal Siakam,Tor,F,28.21,6,43.4,90.4,24.2,9.6,36,0.861,90,0.522,17,0.235,0.495,0.558,22.8,7.2,10.1,5.8,22.8,1.17,1,2.17,9.1,117.9,105.5
181,Marcus Smart,Bos,G,28.28,21,36.2,75.4,21.2,14.5,62,0.806,142,0.458,137,0.35,0.491,0.529,15.4,4.5,7,5.9,26.3,1.24,0.24,2.48,8.2,107.6,101.6
182,Jaden Springer,Phi,G,19.73,5,2.6,5.5,21.5,0,0,0,5,0.6,1,0,0.5,0.5,1.2,0.8,18.7,0.4,29.2,0,0,0,11.2,,
183,Nik Stauskas,Bos,G,28.69,13,1.8,3.8,25.9,0,4,1,2,0,10,0.3,0.375,0.472,1,0.3,9.4,0.3,26.2,0,0,0,10,,
184,Max Strus,Mia,G-F,26.22,18,29,60.5,17.9,9.5,18,0.722,40,0.525,142,0.331,0.503,0.516,10.9,4.1,8.3,2.1,11,0.78,0.44,1.11,6.3,104.5,101.4
185,Jayson Tatum,Bos,F-G,24.29,24,41,85.3,29.6,15.5,170,0.8,276,0.449,196,0.393,0.507,0.562,25.6,6.7,9.2,6.2,26.9,1.21,0.88,4.17,10,106.3,102.8
186,Garrett Temple,Nor,G-F,36.11,1,1.9,4,0,,0,0,0,0,0,0,,,0,1,31.1,0,0,0,0,0,0,,
187,Daniel Theis,Bos,F-C,30.2,16,12.5,26,14.7,16.8,8,0.75,37,0.73,14,0.214,0.618,0.633,4.3,3.3,14.6,0.7,8.9,0.25,0.5,0.69,6.9,115.8,95.8
188,Cam Thomas,Bro,G,20.68,1,0.4,0.8,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
189,Klay Thompson,Gol,G,32.35,22,36,75,22.7,7.1,30,0.867,167,0.485,200,0.385,0.535,0.551,19,3.9,6.1,2.3,9.5,1.09,0.68,1.32,6.2,105.8,107.1
190,Tristan Thompson,Chi,C-F,31.26,5,7.6,15.9,11.5,50,0,0,5,0.4,0,0,0.4,0.4,0.8,1.6,10.5,0.4,7.4,0.2,0,1,4.2,59.8,105.3
191,Matisse Thybulle,Phi,G-F,25.29,9,15.2,31.7,9.4,7.3,3,0.333,10,0.7,14,0.286,0.542,0.533,3,1,4,0.4,4.4,0.78,0.78,0.22,2.8,106.4,103.8
192,Xavier Tillman,Mem,F,23.43,9,15.5,32.2,11.1,26.6,6,0.5,23,0.739,2,0.5,0.74,0.724,4.4,3.2,11,0.7,6.2,0.67,0.11,1.11,5.5,115.2,101.5
193,Juan Toscano-Anderson,Gol,F,29.19,14,3.5,7.3,17.3,41.4,3,0.333,5,0.4,5,0.4,0.5,0.486,0.8,0.7,11.5,0.6,21,0.14,0.07,0.57,7.9,,
194,Karl-Anthony Towns,Min,C-F,26.59,6,37,77,24.9,20.9,50,0.86,58,0.5,22,0.455,0.55,0.642,21.8,10.8,16.3,2.2,10.1,0.67,2,4.5,8.7,108.8,101.9
195,Gary Trent Jr.,Tor,G-F,23.41,6,33.2,69.2,21.7,3.2,19,0.895,43,0.419,39,0.333,0.457,0.509,15.3,1.8,3.4,1.3,6.4,1,0.5,0.5,4,110.5,112.2
196,P.J. Tucker,Mia,F,37.12,18,28.3,58.9,11.3,10.1,16,0.688,58,0.534,51,0.451,0.601,0.612,7.9,5.7,11.8,1.8,9.2,0.78,0.28,0.72,6.1,128.2,101.6
197,Rayjon Tucker,Mil,G,24.73,8,2.4,4.9,6.9,0,0,0,2,0.5,1,0,0.333,0.333,0.3,0.4,8.2,0,0,0,0,0,0,,
198,Jonas Valanciunas,Nor,C,30.11,6,29.1,60.6,22.5,13.1,26,0.769,62,0.516,6,0.167,0.493,0.548,14.5,14.3,29.1,3,16.5,0.67,0.17,2,11.7,119,102
199,Jarred Vanderbilt,Min,F,23.21,6,21.5,44.8,12.1,13.7,10,0.7,27,0.481,0,0,0.481,0.525,5.5,7.2,18.5,0.7,4.7,1.17,0.33,0.83,5.6,111.9,98.7
200,Fred VanVleet,Tor,G,28.31,4,35,72.9,20.1,6.6,6,0.833,18,0.389,36,0.333,0.463,0.486,13.8,3,5.3,6.3,27.5,1.75,1,1,7.3,115.3,106.7
201,Luca Vildoza,Mil,G,20,7,2.4,5,15.4,0,0,0,1,1,5,0.2,0.417,0.417,0.7,0.3,6.1,0.6,34.6,0.29,0,0,8.4,,
202,Gabe Vincent,Mia,G,26.01,18,23.5,49,17.4,15.2,20,0.95,50,0.5,81,0.309,0.477,0.515,8,1.9,4.9,3.2,20,0.78,0.28,1.39,6.2,103.3,103.1
203,Nikola Vucevic,Chi,C,31.65,5,36.2,75.3,24.5,7.9,5,0.8,49,0.551,42,0.31,0.511,0.52,19.4,12.4,17.2,3.2,16.5,0.4,1.2,1.6,10.1,108.1,106.4
204,Ish Wainright,Pho,F,27.76,7,3.8,7.9,26.1,20,0,0,6,0.333,6,0.5,0.542,0.542,1.9,1.6,24.4,0.1,5.7,0.14,0.14,0.43,7.1,,
205,Yuta Watanabe,Tor,G-F,27.68,4,2.6,5.4,31.5,14.3,0,0,5,0.4,1,0,0.333,0.333,1,0,0,0,0,0,0,0.25,0,,
206,Coby White,Chi,G,22.33,5,19.6,40.9,23.8,11.3,5,0.8,16,0.438,29,0.276,0.422,0.445,8.4,3.4,8.7,1.8,15.2,0.2,0,1.2,7.6,87.2,111.9
207,Derrick White,Bos,G,27.96,23,25.4,53,17.5,12.8,51,0.824,93,0.409,83,0.313,0.438,0.494,8.5,3,6.7,2.7,15.9,0.91,0.57,1.26,6.5,101.5,102.9
208,Hassan Whiteside,Uta,C,33.01,6,10.9,22.7,9.9,0,4,0.25,12,0.417,0,0,0.417,0.4,1.8,5.2,27.6,0,0,0.33,1.33,0,0,114,92.8
209,Andrew Wiggins,Gol,F,27.31,22,34.9,72.6,20.8,8.3,65,0.646,200,0.54,105,0.333,0.526,0.544,16.5,7.5,12.1,1.8,7.7,1.05,1.05,1.36,6.9,110.2,104.5
210,Robert Williams III,Bos,C-F,24.67,17,23.2,48.3,11.5,10,28,0.893,77,0.688,1,0,0.679,0.725,7.7,6.2,15.2,1,6.8,0.65,2.24,0.59,6.3,149.3,100.6
211,Grant Williams,Bos,F,23.55,24,27.2,56.8,13.3,10.4,52,0.808,61,0.492,89,0.393,0.55,0.599,8.6,3.8,7.8,0.8,4.4,0.33,0.75,0.83,4.4,116.7,98.9
212,Patrick Williams,Chi,F,20.81,5,30.6,63.7,16.9,11.9,11,0.727,26,0.577,21,0.333,0.543,0.569,11.8,5.4,8.9,0.8,4.3,1,0.6,1.4,4.8,106.5,106
213,Ziaire Williams,Mem,F,20.76,10,16.8,34.9,14.6,3.3,13,0.923,16,0.75,36,0.306,0.548,0.598,6.9,1.7,5.4,0.5,4.3,0.5,0,0.2,4.3,127.1,106.7
214,Delon Wright,Atl,G,30.14,5,27.4,57,12.8,13.2,9,0.667,16,0.625,13,0.385,0.603,0.622,8.2,4.8,10.6,2.8,16.8,0.8,0.2,1,7,131.9,117.4
215,Thaddeus Young,Tor,F,33.99,6,14.5,30.2,12.2,13.2,4,0.25,11,0.727,7,0.143,0.528,0.506,3.3,3,12.7,1.7,16.9,0.83,0.17,0.5,7.1,116.6,103.8
216,Trae Young,Atl,G,23.74,5,37.3,77.7,28.3,27.1,33,0.788,31,0.484,38,0.184,0.37,0.461,15.4,5,8.1,6,26.9,0.6,0,6.2,8.3,83.4,111.8
217,Omer Yurtseven,Mia,C,24,9,4.2,8.8,22.8,0,3,0.333,16,0.75,2,0,0.667,0.647,2.8,0.8,10.9,0.3,16.7,0,0.11,0,8.3,131.5,107.9
