RANK,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,"USG%Usage RateUsage rate, a.k.a., usage percentage is an estimate of the percentage of team plays used by a player while he was on the floor",TO%Turnover RateA metric that estimates the number of turnovers a player commits per 100 possessions,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","TS%True Shooting PercentageTrue shooting percentage is a measure of shooting efficiency that takes into account field goals, 3-point field goals, and free throws.",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player’s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
43,Clint Capela,Atl,C,28.08,2,20.2,42.1,8,14.3,0,0,6,0.333,0,0,0.333,0.333,2,7.5,22.4,0,0,0.5,0.5,0.5,0,93.1,108.9
44,Jevon Carter,Mil,G,26.76,11,11.4,23.8,8.9,23.2,2,1,12,0.5,7,0.429,0.553,0.578,2.1,1.5,6.5,0.9,10.9,0.73,0,0.55,5,107,102.5
45,Alex Caruso,Chi,G,28.3,4,28.4,59.1,9.3,4.2,0,0,5,0.4,18,0.389,0.543,0.543,6.3,2.8,4.9,4.3,22.1,1.25,1,0.25,6,131,106.9
46,Marquese Chriss,Dal,F,24.96,8,3.8,7.8,18.3,8.6,6,0.833,6,0.5,2,0.5,0.563,0.658,1.8,1.1,17.4,0,0,0,0,0.13,0,,
47,Brandon Clarke,Mem,F,25.74,12,24.7,51.5,17.4,8.7,54,0.667,90,0.622,1,0,0.615,0.645,12.3,6.9,14.8,2,12.7,0.75,0.83,0.92,9,134.6,105
48,Jordan Clarkson,Uta,G,30.03,6,28.4,59.1,25.1,11,18,0.889,49,0.633,24,0.375,0.61,0.649,17.5,3.2,6.5,1.3,9.5,0.5,0.17,1.67,5.9,120.4,105.4
49,Nic Claxton,Bro,F-C,23.17,4,24.5,51,16.7,5.6,22,0.182,24,0.792,0,0,0.792,0.624,10.5,6.3,16.7,1.5,9.8,1.25,2.25,0.5,7.6,123.7,107.9
50,John Collins,Atl,F-C,24.73,5,24.3,50.7,18.3,10.3,10,0.5,28,0.536,11,0.364,0.538,0.541,9.4,4.6,11.4,1.2,8.8,0.4,0.2,1,6.1,103.3,106.8
51,Mike Conley,Uta,G,34.68,6,29,60.4,20.7,17,15,0.8,32,0.438,25,0.2,0.377,0.432,9.2,3.2,6.4,4.8,26.9,0.83,0.33,2.17,7.2,94.8,103.2
52,Pat Connaughton,Mil,G,29.44,12,26.5,55.2,13.2,7.2,5,1,24,0.708,64,0.391,0.619,0.632,9.5,4.3,8.2,0.9,5.2,0.42,0.33,0.58,5,120.4,109.9
53,DeMarcus Cousins,Den,C,31.84,5,11.4,23.7,32.6,16.4,15,0.733,23,0.652,6,0.667,0.724,0.744,10.6,3.4,18.5,1.2,21.7,0.6,0.2,1.4,12.3,123.2,94.4
54,Torrey Craig,Pho,F,31.49,9,7.6,15.9,18,14.9,2,0.5,12,0.417,10,0.3,0.432,0.437,2.2,1.7,12.8,0.6,9.8,0.44,0.22,0.44,6.9,93.1,101.7
55,Jae Crowder,Pho,F,31.95,13,29.5,61.4,16.2,14,26,0.731,42,0.548,63,0.302,0.49,0.524,9.4,4.7,9.3,2.4,10.8,1,0.54,1.46,6.4,102.2,99.4
56,Jarrett Culver,Mem,G-F,23.32,3,7.4,15.5,23.7,15.5,2,0.5,8,0.375,2,0,0.3,0.322,2.3,2.3,16.6,0.3,6.5,0.67,0,0.67,6.3,70.9,88.7
57,Seth Curry,Bro,G,31.82,4,33.1,68.9,15,6.9,3,0.667,16,0.625,23,0.522,0.718,0.719,14.5,2.5,4.9,3,13.9,0.25,0.75,0.75,5.8,139.7,108.7
58,Stephen Curry,Gol,G,34.26,22,34.7,72.3,31.8,10.3,129,0.829,211,0.526,229,0.397,0.563,0.606,27.4,5.2,8.4,5.9,28.3,1.23,0.36,2.59,10.9,117.4,103.7
59,Dewayne Dedmon,Mia,C,32.85,14,9.8,20.5,18.6,12.2,12,0.833,35,0.571,10,0.1,0.478,0.527,3.8,3,18,0.4,5.7,0.07,0.21,0.5,6.8,109.7,81.8
